Unnamed: 0,sysEname,time,triggername,is_root
0,SYS_8,2019-06-16 09:22:37,主机node_84 网卡eth0 接收流量持续10分钟平均值大于300M,0
1,SYS_2,2019-06-16 09:22:37,主机node_7 堆内存平均使用率：94.61%（大于阈值：90%）,0
2,SYS_9,2019-06-16 09:22:39,主机node_66 空闲交换空间小于50%,0
3,SYS_3,2019-06-16 09:22:40,主机node_39 ping丢包率当前值为25%，持续2分钟平均大于20%,0
4,SYS_10,2019-06-16 09:22:41,主机node_90 FullGC次数：23次（大于阈值：10次）,0
5,SYS_1,2019-06-16 09:22:42,主机node_0 FullGC次数：32次（大于阈值：10次）,0
6,SYS_1,2019-06-16 09:22:43,"主机node_93 空闲CPU为4.0%,持续15分钟小于10%",0
7,SYS_7,2019-06-16 09:22:44,主机node_63 FullGC平均耗时：2118ms（大于阈值：1000ms）,0
8,SYS_8,2019-06-16 09:22:45,主机node_49 **** 请求延时大于5分钟,0
9,SYS_9,2019-06-16 09:22:45,主机node_92 上CPU Steal Time持续5分钟超过10%,0
10,SYS_9,2019-06-16 09:22:49,主机node_66 空闲交换空间小于50%,0
11,SYS_8,2019-06-16 09:22:50,主机node_71 **** 请求延时大于5分钟,0
12,SYS_10,2019-06-16 09:22:51,主机node_90 FullGC次数：23次（大于阈值：10次）,0
13,SYS_1,2019-06-16 09:22:51,主机node_17 网卡eth0 接收流量持续10分钟平均值大于300M,0
14,SYS_1,2019-06-16 09:22:53,"主机node_93 空闲CPU为4.0%,持续15分钟小于10%",0
15,SYS_8,2019-06-16 09:22:55,主机node_49 **** 请求延时大于5分钟,0
16,SYS_8,2019-06-16 09:22:57,主机node_84 网卡eth0 接收流量持续10分钟平均值大于300M,0
17,SYS_9,2019-06-16 09:22:59,主机node_66 空闲交换空间小于50%,0
18,SYS_5,2019-06-16 09:22:59,主机node_76 **** 请求延时大于5分钟,0
19,SYS_6,2019-06-16 09:23:00,主机node_1 **** 请求延时大于5分钟,0
20,SYS_8,2019-06-16 09:23:01,主机node_88 空闲交换空间小于50%,0
21,SYS_1,2019-06-16 09:23:01,主机node_17 网卡eth0 接收流量持续10分钟平均值大于300M,0
22,SYS_10,2019-06-16 09:23:01,主机node_90 FullGC次数：23次（大于阈值：10次）,0
23,SYS_3,2019-06-16 09:23:03,主机node_97 网卡eth0 发送流量持续30分钟平均值大于700M,0
24,SYS_7,2019-06-16 09:23:05,"主机node_24 ping丢包率100%,服务器宕机",0
25,SYS_5,2019-06-16 09:23:06,主机node_85 FullGC次数：32次（大于阈值：10次）,0
26,SYS_8,2019-06-16 09:23:07,主机node_84 网卡eth0 接收流量持续10分钟平均值大于300M,0
27,SYS_5,2019-06-16 09:23:09,主机node_76 **** 请求延时大于5分钟,0
28,SYS_9,2019-06-16 09:23:09,主机node_66 空闲交换空间小于50%,0
29,SYS_3,2019-06-16 09:23:10,主机node_39 ping丢包率当前值为25%，持续2分钟平均大于20%,0
30,SYS_1,2019-06-16 09:23:11,主机node_17 网卡eth0 接收流量持续10分钟平均值大于300M,0
31,SYS_9,2019-06-16 09:23:11,主机node_12 空闲交换空间小于50%,0
32,SYS_9,2019-06-16 09:23:13,主机node_47 网卡流量unknown,0
33,SYS_1,2019-06-16 09:23:13,"主机node_93 空闲CPU为4.0%,持续15分钟小于10%",0
34,SYS_3,2019-06-16 09:23:13,主机node_97 网卡eth0 发送流量持续30分钟平均值大于700M,0
35,SYS_10,2019-06-16 09:23:14,主机node_64 端口80通信异常,0
36,SYS_9,2019-06-16 09:23:15,主机node_92 上CPU Steal Time持续5分钟超过10%,0
37,SYS_7,2019-06-16 09:23:17,主机node_51 FullGC平均耗时：2118ms（大于阈值：1000ms）,0
38,SYS_8,2019-06-16 09:23:17,主机node_84 网卡eth0 接收流量持续10分钟平均值大于300M,0
39,SYS_5,2019-06-16 09:23:18,主机node_65 ping延迟时间持续3分钟大于100ms,0
40,SYS_9,2019-06-16 09:23:19,主机node_66 空闲交换空间小于50%,0
41,SYS_5,2019-06-16 09:23:19,主机node_76 **** 请求延时大于5分钟,0
42,SYS_1,2019-06-16 09:23:19,主机node_83 网卡eth0 发送流量持续10分钟平均值大于800M,0
43,SYS_10,2019-06-16 09:23:20,主机node_42 **application 停止运行,0
44,SYS_10,2019-06-16 09:23:21,主机node_90 FullGC次数：23次（大于阈值：10次）,0
45,SYS_9,2019-06-16 09:23:21,主机node_12 空闲交换空间小于50%,0
46,SYS_1,2019-06-16 09:23:21,主机node_17 网卡eth0 接收流量持续10分钟平均值大于300M,0
47,SYS_1,2019-06-16 09:23:22,主机node_50 网卡流量unknown,0
48,SYS_3,2019-06-16 09:23:24,主机node_3 sdd IO使用率持续30分钟大于90%,0
49,SYS_8,2019-06-16 09:23:25,主机node_49 **** 请求延时大于5分钟,0
50,SYS_9,2019-06-16 09:23:25,主机node_92 上CPU Steal Time持续5分钟超过10%,0
51,SYS_4,2019-06-16 09:23:26,主机node_13 url:http://node_13:80//访问失败,0
52,SYS_5,2019-06-16 09:23:26,主机node_85 FullGC次数：32次（大于阈值：10次）,0
53,SYS_5,2019-06-16 09:23:28,主机node_65 ping延迟时间持续3分钟大于100ms,0
54,SYS_9,2019-06-16 09:23:29,主机node_66 空闲交换空间小于50%,0
55,SYS_5,2019-06-16 09:23:29,主机node_76 **** 请求延时大于5分钟,0
56,SYS_1,2019-06-16 09:23:29,主机node_83 网卡eth0 发送流量持续10分钟平均值大于800M,0
57,SYS_10,2019-06-16 09:23:30,主机node_42 **application 停止运行,0
58,SYS_10,2019-06-16 09:23:31,主机node_90 FullGC次数：23次（大于阈值：10次）,0
59,SYS_1,2019-06-16 09:23:33,"主机node_93 空闲CPU为4.0%,持续15分钟小于10%",0
60,SYS_1,2019-06-16 09:23:33,主机node_73 上I/O等待负载持续15分钟超过10%,0
61,SYS_3,2019-06-16 09:23:34,主机node_3 sdd IO使用率持续30分钟大于90%,0
62,SYS_8,2019-06-16 09:23:35,主机node_49 **** 请求延时大于5分钟,0
63,SYS_2,2019-06-16 09:23:37,主机node_7 堆内存平均使用率：94.61%（大于阈值：90%）,0
64,SYS_8,2019-06-16 09:23:37,主机node_84 网卡eth0 接收流量持续10分钟平均值大于300M,0
65,SYS_7,2019-06-16 09:23:37,主机node_51 FullGC平均耗时：2118ms（大于阈值：1000ms）,0
66,SYS_5,2019-06-16 09:23:38,主机node_65 ping延迟时间持续3分钟大于100ms,0
67,SYS_1,2019-06-16 09:23:39,主机node_83 网卡eth0 发送流量持续10分钟平均值大于800M,0
68,SYS_5,2019-06-16 09:23:39,主机node_76 **** 请求延时大于5分钟,0
69,SYS_3,2019-06-16 09:23:40,主机node_39 ping丢包率当前值为25%，持续2分钟平均大于20%,0
70,SYS_9,2019-06-16 09:23:41,主机node_80 网卡eth0 发送流量持续30分钟平均值大于700M,0
71,SYS_9,2019-06-16 09:23:41,主机node_12 空闲交换空间小于50%,0
72,SYS_6,2019-06-16 09:23:41,主机node_67 日志中有No route to host信息,0
73,SYS_8,2019-06-16 09:23:41,主机node_88 空闲交换空间小于50%,0
74,SYS_1,2019-06-16 09:23:41,主机node_17 网卡eth0 接收流量持续10分钟平均值大于300M,0
75,SYS_1,2019-06-16 09:23:43,主机node_73 上I/O等待负载持续15分钟超过10%,0
76,SYS_5,2019-06-16 09:23:44,主机node_2 日志报错:无法获取连接,0
77,SYS_8,2019-06-16 09:23:45,主机node_49 **** 请求延时大于5分钟,0
78,SYS_8,2019-06-16 09:23:47,主机node_84 网卡eth0 接收流量持续10分钟平均值大于300M,0
79,SYS_5,2019-06-16 09:23:48,主机node_65 ping延迟时间持续3分钟大于100ms,0
80,SYS_8,2019-06-16 09:23:48,主机node_95 日志产生ERROR信息,0
81,SYS_1,2019-06-16 09:23:49,主机node_83 网卡eth0 发送流量持续10分钟平均值大于800M,0
82,SYS_9,2019-06-16 09:23:49,主机node_66 空闲交换空间小于50%,0
83,SYS_5,2019-06-16 09:23:49,主机node_76 **** 请求延时大于5分钟,0
84,SYS_3,2019-06-16 09:23:50,主机node_39 ping丢包率当前值为25%，持续2分钟平均大于20%,0
85,SYS_8,2019-06-16 09:23:51,主机node_88 空闲交换空间小于50%,0
86,SYS_9,2019-06-16 09:23:51,主机node_12 空闲交换空间小于50%,0
87,SYS_9,2019-06-16 09:23:51,主机node_80 网卡eth0 发送流量持续30分钟平均值大于700M,0
88,SYS_1,2019-06-16 09:23:52,主机node_0 FullGC次数：32次（大于阈值：10次）,0
89,SYS_3,2019-06-16 09:23:53,主机node_97 网卡eth0 发送流量持续30分钟平均值大于700M,0
90,SYS_1,2019-06-16 09:23:53,"主机node_93 空闲CPU为4.0%,持续15分钟小于10%",0
91,SYS_8,2019-06-16 09:23:55,主机node_49 **** 请求延时大于5分钟,0
92,SYS_2,2019-06-16 09:23:57,主机node_21 ping丢包率当前值为25%，持续2分钟平均大于20%,0
93,SYS_8,2019-06-16 09:23:57,主机node_84 网卡eth0 接收流量持续10分钟平均值大于300M,0
94,SYS_5,2019-06-16 09:23:58,主机node_65 ping延迟时间持续3分钟大于100ms,0
95,SYS_9,2019-06-16 09:24:01,主机node_12 空闲交换空间小于50%,0
96,SYS_9,2019-06-16 09:24:01,主机node_80 网卡eth0 发送流量持续30分钟平均值大于700M,0
97,SYS_10,2019-06-16 09:24:01,主机node_90 FullGC次数：23次（大于阈值：10次）,0
98,SYS_6,2019-06-16 09:24:01,主机node_67 日志中有No route to host信息,0
99,SYS_1,2019-06-16 09:24:01,主机node_17 网卡eth0 接收流量持续10分钟平均值大于300M,0
100,SYS_4,2019-06-16 09:24:02,主机node_34 端口6060通信异常,0
101,SYS_1,2019-06-16 09:24:02,主机node_0 FullGC次数：32次（大于阈值：10次）,0
102,SYS_1,2019-06-16 09:24:03,"主机node_93 空闲CPU为4.0%,持续15分钟小于10%",0
103,SYS_8,2019-06-16 09:24:05,主机node_49 **** 请求延时大于5分钟,0
104,SYS_2,2019-06-16 09:24:07,主机node_7 堆内存平均使用率：94.61%（大于阈值：90%）,0
105,SYS_5,2019-06-16 09:24:09,主机node_76 **** 请求延时大于5分钟,0
106,SYS_1,2019-06-16 09:24:09,主机node_83 网卡eth0 发送流量持续10分钟平均值大于800M,0
107,SYS_5,2019-06-16 09:24:09,主机node_14 端口80通信异常,0
108,SYS_1,2019-06-16 09:24:11,主机node_17 网卡eth0 接收流量持续10分钟平均值大于300M,0
109,SYS_1,2019-06-16 09:24:11,主机node_4 Nginx 80端口的连接数大于2000,0
110,SYS_10,2019-06-16 09:24:11,主机node_90 FullGC次数：23次（大于阈值：10次）,0
111,SYS_6,2019-06-16 09:24:11,主机node_67 日志中有No route to host信息,0
112,SYS_8,2019-06-16 09:24:11,主机node_88 空闲交换空间小于50%,0
113,SYS_9,2019-06-16 09:24:11,主机node_80 网卡eth0 发送流量持续30分钟平均值大于700M,0
114,SYS_4,2019-06-16 09:24:11,主机node_69 网卡eth0 接收流量持续10分钟平均值大于300M,0
115,SYS_1,2019-06-16 09:24:13,"主机node_93 空闲CPU为4.0%,持续15分钟小于10%",0
116,SYS_3,2019-06-16 09:24:14,主机node_3 sdd IO使用率持续30分钟大于90%,0
117,SYS_3,2019-06-16 09:24:14,主机node_94 url:http://node_94:80//访问失败,0
118,SYS_8,2019-06-16 09:24:15,主机node_49 **** 请求延时大于5分钟,0
119,SYS_1,2019-06-16 09:24:17,主机node_31 分区剩余空间小于阀值10%,0
120,SYS_4,2019-06-16 09:24:19,主机node_72 JBOSS 8080端口的连接数大于400,0
121,SYS_7,2019-06-16 09:24:20,主机node_61 堆内存平均使用率：94.61%（大于阈值：90%）,0
122,SYS_1,2019-06-16 09:24:21,主机node_17 网卡eth0 接收流量持续10分钟平均值大于300M,0
123,SYS_10,2019-06-16 09:24:21,主机node_90 FullGC次数：23次（大于阈值：10次）,0
124,SYS_8,2019-06-16 09:24:21,主机node_88 空闲交换空间小于50%,0
125,SYS_1,2019-06-16 09:24:22,主机node_50 网卡流量unknown,0
126,SYS_1,2019-06-16 09:24:23,主机node_73 上I/O等待负载持续15分钟超过10%,0
127,SYS_9,2019-06-16 09:24:23,主机node_47 网卡流量unknown,0
128,SYS_1,2019-06-16 09:24:23,"主机node_93 空闲CPU为4.0%,持续15分钟小于10%",0
129,SYS_10,2019-06-16 09:24:24,主机node_64 端口80通信异常,0
130,SYS_8,2019-06-16 09:24:25,主机node_49 **** 请求延时大于5分钟,0
131,SYS_1,2019-06-16 09:24:27,主机node_31 分区剩余空间小于阀值10%,0
132,SYS_8,2019-06-16 09:24:27,主机node_84 网卡eth0 接收流量持续10分钟平均值大于300M,0
133,SYS_7,2019-06-16 09:24:27,主机node_51 FullGC平均耗时：2118ms（大于阈值：1000ms）,0
134,SYS_2,2019-06-16 09:24:28,主机node_55 上I/O等待负载持续15分钟超过10%,0
135,SYS_1,2019-06-16 09:24:29,主机node_83 网卡eth0 发送流量持续10分钟平均值大于800M,0
136,SYS_4,2019-06-16 09:24:29,主机node_72 JBOSS 8080端口的连接数大于400,0
137,SYS_5,2019-06-16 09:24:29,主机node_76 **** 请求延时大于5分钟,0
138,SYS_6,2019-06-16 09:24:30,主机node_1 **** 请求延时大于5分钟,0
139,SYS_9,2019-06-16 09:24:31,主机node_12 空闲交换空间小于50%,0
140,SYS_8,2019-06-16 09:24:31,主机node_88 空闲交换空间小于50%,0
141,SYS_10,2019-06-16 09:24:31,主机node_90 FullGC次数：23次（大于阈值：10次）,0
142,SYS_1,2019-06-16 09:24:31,主机node_17 网卡eth0 接收流量持续10分钟平均值大于300M,0
143,SYS_1,2019-06-16 09:24:32,主机node_0 FullGC次数：32次（大于阈值：10次）,0
144,SYS_1,2019-06-16 09:24:33,"主机node_93 空闲CPU为4.0%,持续15分钟小于10%",0
145,SYS_8,2019-06-16 09:24:35,主机node_49 **** 请求延时大于5分钟,0
146,SYS_9,2019-06-16 09:24:35,主机node_92 上CPU Steal Time持续5分钟超过10%,0
147,SYS_1,2019-06-16 09:24:39,主机node_83 网卡eth0 发送流量持续10分钟平均值大于800M,0
