Unnamed: 0,sysEname,time,triggername,is_root
0,SYS_2,2019-06-21 20:29:33,主机node_91 网卡eth0 发送流量持续30分钟平均值大于700M,0
1,SYS_5,2019-06-21 20:29:33,主机node_2 硬盘Slot 00状态为Failed,0
2,SYS_5,2019-06-21 20:29:36,主机node_85 **** 请求延时大于5分钟,0
3,SYS_9,2019-06-21 20:29:36,主机node_16 **** 请求延时大于5分钟,0
4,SYS_5,2019-06-21 20:29:37,主机node_60 网卡eth0 接收流量持续10分钟平均值大于300M,0
5,SYS_4,2019-06-21 20:29:38,主机node_13 空闲交换空间小于50%,0
6,SYS_9,2019-06-21 20:29:38,主机node_78 FullGC平均耗时：3268ms（大于阈值：1000ms）,0
7,SYS_1,2019-06-21 20:29:38,主机node_50 **** 请求延时大于5分钟,0
8,SYS_8,2019-06-21 20:29:39,主机node_71 空闲交换空间小于50%,0
9,SYS_5,2019-06-21 20:29:42,主机node_6 网卡eth0 发送流量持续10分钟平均值大于800M,0
10,SYS_10,2019-06-21 20:29:44,"主机node_96 空闲CPU为4.0%,持续15分钟小于10%",0
11,SYS_8,2019-06-21 20:29:44,主机node_87 端口80通信异常,0
12,SYS_6,2019-06-21 20:29:45,主机node_67 上I/O等待负载大于50%,0
13,SYS_2,2019-06-21 20:29:46,主机node_30 网卡eth0 接收流量持续10分钟平均值大于300M,0
14,SYS_5,2019-06-21 20:29:46,主机node_85 **** 请求延时大于5分钟,0
15,SYS_9,2019-06-21 20:29:46,主机node_16 **** 请求延时大于5分钟,0
16,SYS_1,2019-06-21 20:29:47,主机node_17 日志报错:无法获取连接,0
17,SYS_4,2019-06-21 20:29:48,主机node_13 空闲交换空间小于50%,0
18,SYS_5,2019-06-21 20:29:52,主机node_76 堆内存平均使用率：94.61%（大于阈值：90%）,0
19,SYS_8,2019-06-21 20:29:53,主机node_10 上I/O等待负载大于50%,0
20,SYS_10,2019-06-21 20:29:54,"主机node_96 空闲CPU为4.0%,持续15分钟小于10%",0
21,SYS_2,2019-06-21 20:29:55,主机node_45 HTTP:http://*************，慢响应（调用耗时超过1000ms）次数：309次（大于阈值：200次）,0
22,SYS_1,2019-06-21 20:29:55,主机node_0 网卡流量unknown,0
23,SYS_5,2019-06-21 20:29:56,主机node_85 **** 请求延时大于5分钟,0
24,SYS_9,2019-06-21 20:29:56,主机node_16 **** 请求延时大于5分钟,0
25,SYS_2,2019-06-21 20:29:56,主机node_18 网卡eth0 发送流量持续30分钟平均值大于700M,0
26,SYS_9,2019-06-21 20:29:58,主机node_78 FullGC平均耗时：3268ms（大于阈值：1000ms）,0
27,SYS_4,2019-06-21 20:29:58,主机node_13 空闲交换空间小于50%,0
28,SYS_10,2019-06-21 20:30:01,主机node_29 **** 请求延时大于5分钟,0
29,SYS_5,2019-06-21 20:30:02,主机node_76 堆内存平均使用率：94.61%（大于阈值：90%）,0
30,SYS_10,2019-06-21 20:30:04,"主机node_96 空闲CPU为4.0%,持续15分钟小于10%",0
31,SYS_9,2019-06-21 20:30:06,主机node_16 **** 请求延时大于5分钟,0
32,SYS_5,2019-06-21 20:30:06,主机node_85 **** 请求延时大于5分钟,0
33,SYS_2,2019-06-21 20:30:06,主机node_30 网卡eth0 接收流量持续10分钟平均值大于300M,0
34,SYS_2,2019-06-21 20:30:06,主机node_18 网卡eth0 发送流量持续30分钟平均值大于700M,0
35,SYS_3,2019-06-21 20:30:07,主机node_86 FullGC平均耗时：3268ms（大于阈值：1000ms）,0
36,SYS_5,2019-06-21 20:30:07,主机node_60 网卡eth0 接收流量持续10分钟平均值大于300M,0
37,SYS_9,2019-06-21 20:30:08,主机node_78 FullGC平均耗时：3268ms（大于阈值：1000ms）,0
38,SYS_6,2019-06-21 20:30:08,主机node_46 网卡流量unknown,0
39,SYS_1,2019-06-21 20:30:08,主机node_50 **** 请求延时大于5分钟,0
40,SYS_4,2019-06-21 20:30:08,主机node_13 空闲交换空间小于50%,0
41,SYS_1,2019-06-21 20:30:09,主机node_31 ping延迟时间持续3分钟大于100ms,0
42,SYS_2,2019-06-21 20:30:13,主机node_91 网卡eth0 发送流量持续30分钟平均值大于700M,0
43,SYS_8,2019-06-21 20:30:13,主机node_10 上I/O等待负载大于50%,0
44,SYS_10,2019-06-21 20:30:14,"主机node_96 空闲CPU为4.0%,持续15分钟小于10%",0
45,SYS_9,2019-06-21 20:30:16,主机node_16 **** 请求延时大于5分钟,0
46,SYS_5,2019-06-21 20:30:17,主机node_60 网卡eth0 接收流量持续10分钟平均值大于300M,0
47,SYS_4,2019-06-21 20:30:18,主机node_13 空闲交换空间小于50%,0
48,SYS_9,2019-06-21 20:30:18,主机node_78 FullGC平均耗时：3268ms（大于阈值：1000ms）,0
49,SYS_1,2019-06-21 20:30:18,主机node_50 **** 请求延时大于5分钟,0
50,SYS_7,2019-06-21 20:30:18,主机node_63 **application 停止运行,0
51,SYS_6,2019-06-21 20:30:18,主机node_46 网卡流量unknown,0
52,SYS_1,2019-06-21 20:30:19,主机node_31 ping延迟时间持续3分钟大于100ms,0
53,SYS_7,2019-06-21 20:30:20,主机node_24 网卡eth0 接收流量持续10分钟平均值大于180M,0
54,SYS_10,2019-06-21 20:30:21,主机node_29 **** 请求延时大于5分钟,0
55,SYS_2,2019-06-21 20:30:23,主机node_91 网卡eth0 发送流量持续30分钟平均值大于700M,0
56,SYS_10,2019-06-21 20:30:24,"主机node_96 空闲CPU为4.0%,持续15分钟小于10%",0
