Unnamed: 0,sysEname,time,triggername,is_root
0,SYS_1,2019-06-08 15:17:31,主机node_73 端口80通信异常,0
1,SYS_6,2019-06-08 15:17:32,主机node_48 空闲交换空间小于50%,0
2,SYS_1,2019-06-08 15:17:33,主机node_4 硬盘Slot 00状态为Failed,0
3,SYS_6,2019-06-08 15:17:34,主机node_32 上I/O等待负载大于50%,0
4,SYS_2,2019-06-08 15:17:38,主机node_91 日志产生ERROR信息,0
5,SYS_5,2019-06-08 15:17:38,主机node_14 网卡eth0 发送流量持续10分钟平均值大于800M,0
6,SYS_1,2019-06-08 15:17:42,主机node_83 网卡eth0 发送流量持续30分钟平均值大于700M,0
7,SYS_8,2019-06-08 15:17:42,主机node_95 网卡eth0 接收流量持续10分钟平均值大于300M,0
8,SYS_6,2019-06-08 15:17:42,主机node_67 上CPU Steal Time持续5分钟超过10%,0
9,SYS_8,2019-06-08 15:17:43,"主机node_71 ping丢包率100%,服务器宕机",0
10,SYS_4,2019-06-08 15:17:43,主机node_77 网卡eth0 接收流量持续10分钟平均值大于180M,0
11,SYS_6,2019-06-08 15:17:44,主机node_32 上I/O等待负载大于50%,0
12,SYS_7,2019-06-08 15:17:45,主机node_89 堆内存平均使用率：92.69%（大于阈值：90%）,0
13,SYS_6,2019-06-08 15:17:46,主机node_1 FullGC次数：23次（大于阈值：10次）,0
14,SYS_10,2019-06-08 15:17:47,主机node_11 上CPU Steal Time持续5分钟超过10%,0
15,SYS_9,2019-06-08 15:17:49,主机node_44 网卡eth0 接收流量持续10分钟平均值大于180M,0
16,SYS_4,2019-06-08 15:17:49,主机node_62 网卡eth0 接收流量持续10分钟平均值大于180M,0
17,SYS_4,2019-06-08 15:17:51,主机node_5 网卡eth0 接收流量持续10分钟平均值大于180M,0
18,SYS_10,2019-06-08 15:17:51,主机node_90 上I/O等待负载大于50%,0
19,SYS_7,2019-06-08 15:17:51,主机node_24 网卡eth0 接收流量持续10分钟平均值大于180M,0
20,SYS_3,2019-06-08 15:17:52,主机node_57 硬盘Slot 00状态为Failed,0
21,SYS_6,2019-06-08 15:17:52,主机node_48 空闲交换空间小于50%,0
22,SYS_8,2019-06-08 15:17:52,主机node_95 网卡eth0 接收流量持续10分钟平均值大于300M,0
23,SYS_1,2019-06-08 15:17:52,主机node_83 网卡eth0 发送流量持续30分钟平均值大于700M,0
24,SYS_6,2019-06-08 15:17:54,主机node_32 上I/O等待负载大于50%,0
25,SYS_4,2019-06-08 15:17:54,主机node_72 上I/O等待负载大于50%,0
26,SYS_7,2019-06-08 15:17:55,"主机node_63 空闲CPU为1.52%,持续15分钟小于10%",0
27,SYS_6,2019-06-08 15:17:56,主机node_1 FullGC次数：23次（大于阈值：10次）,0
